QID,Label,Description
Q313115,Britannicus,son of Roman emperor Claudius and his third wife Valeria Messalina
Q315625,trainee,official employee of the firm that is being trained to the job
Q315667,Saxe-Weimar,duchy
Q316498,cadet,an under training military officer
Q316533,German People's Party,German liberal political party
Q318674,Oromo people,"African ethnic group, largest in Ethiopia"
Q319604,passenger,person who travels in a vehicle without operating it
Q319761,Aberystwyth University,university in Wales
Q324107,Communist Party of Germany/Marxists–Leninists,communist party
Q324326,,
Q324516,Choctaw,Native American people originally from the Southeastern United States
Q326029,Duchy of Brunswick,duchy in Germany
Q326358,joiner,"profession; artisan, tradesperson, who builds things by joining pieces of wood, particularly lighter and more ornamental work than that done by a carpenter (Q154549), including furniture"
Q327401,German resistance to Nazism,opposition by individuals and groups in Germany to Adolf Hitler or the National Socialist regime between 1933 and 1945
Q327591,independent politician,individual not affiliated to any political party
Q328333,Asesino,band
Q328376,Nazi plunder,Nazi looting in WWII
Q329691,franc-tireur,"French volunteers, chiefly peasants, who carried on a guerilla warfare against the Germans in the Franco-German War"
Q330362,Commonwealth of England,historic republic on the British Isles (1649–1660)
Q330459,senior lieutenant,commissioned officer military rank
Q332988,defection,giving up of allegiance to one state for allegiance to another in a manner considered illegitimate by the first state
Q333049,Lakota people,Indigenous people of the Great Plains
Q333247,temperance movement,social movement against the (problematic) consumption of alcoholic beverages.
Q333928,Maracay,city in Venezuela
Q334477,selective serotonin reuptake inhibitor,class of drugs that are typically used as antidepressants in the treatment of major depressive disorder and anxiety disorders.
Q337487,Rajput,"member of one of the patrilineal clans of western, central, northern India and some parts of Pakistan"
Q339176,Basque Nationalist Action,political party
Q339183,Democratic Action,Venezuelan political party
Q340169,communication medium,storage and delivering agent of information or data
Q341085,Czech Pirate Party,political party in the Czech Republic
Q341148,Czech Social Democratic Party,Czech political party
Q344913,People's Electoral Movement,political party in Venezuela
Q346575,evangelical church,
Q349613,sea shipping,traffic of ships for transportation of goods and persons on the seas and oceans
Q354034,type designer,person who designs typefaces
Q357813,adjunct professor,academic title or rank
Q359282,lyric tenor,type of singing voice
Q359882,Adnyamathanha,"Indigenous Australian people from the Flinders Ranges, South Australia"
Q361809,rhetorician,teacher of rhetoric
Q362949,Swiss Progressive Organisations,political party
Q363802,doctoral advisor,university faculty member who supervises the doctoral research of a graduate student
Q364148,Stand Up,Wikimedia disambiguation page
Q365539,Black Canadians,racial or ethnic group in Canada with African ancestry
Q368290,film distributor,company that markets and distributes films
Q369931,Master-at-arms,military position
Q370173,Sultanate of Egypt,1914-1922 sultanate in Northeastern Africa
Q370736,Cape Colony,Dutch and British colony in Southern Africa
Q370936,Valdotanian Union,political party
Q372646,mental calculator,person with a prodigious ability in some area of mental calculation
Q373021,aircrew,"personnel operating an aircraft in flight, including pilots, systems operators, and attendants"
Q373069,evangelism,spreading the Gospel of Jesus Christ for the purpose of conversion or a rapprochement with Christianity
Q373557,aerobatics,flying maneuvers involving attitudes not attained during normal flight
Q374379,1995 Polish presidential election,Presidential elections in Poland
Q374646,1993 Canadian federal election,35th federal election in Canada
Q375470,Russian studies,philology and history in Russia
Q376262,High Priests of Amun,priestly title in ancient Egypt
Q376680,traumatology,study of wounds and injuries caused by accidents or violence to a person
Q377349,Democratic Alliance,political party in Portugal
Q378426,diplomatics,academic study of the protocols of documents
Q380313,archival science,the science of storage and registration of historic data
Q384001,historical geography,branch of geography
Q385005,Batzarre,political party
Q386208,mascot character,created character used as a mascot by an organisation
Q386275,web development,built highly interactive and responsive website using cutting edge web technologies
Q388064,Afro-Shirazi Party,Zanzibari political party
Q388315,Afro-Brazilian,racial or ethnic group of Brazilians with African ancestry
Q388554,National Convergence,Venezuelan political party
Q388739,Afsharid dynasty,Imperial Iranian dynasty of the 18th century
Q389772,data transmission,physical transfer of data; transfer of data (a digital bit stream or a digitized analog signal) over a point-to-point or point-to-multipoint communication channel
Q390287,Eötvös Loránd University,"public research university in Budapest, Hungary"
Q391189,Taiwan under Qing Dynasty rule,Taiwan's dynasty history
Q396198,agricultural policy,laws relating to domestic agriculture and imports of foreign agricultural products
Q398193,New Zealand,Wikimedia disambiguation page
Q399670,Hindu,Wikimedia disambiguation page
Q401642,stylite,form of Christian asceticism that had the peculiarity of spending their life of prayer and penance on a platform placed at the top of a column (stylos in Greek) remaining there for many years and even until death
Q402392,Ahom people,ethnic group
Q403054,Broad Front,political party of Costa Rica
Q404128,Quaker,Wikimedia disambiguation page
Q404367,Industrial,Wikimedia disambiguation page
Q409857,Developer,Wikimedia disambiguation page
Q410319,Aitarak,"anti-independence militia in East Timor, active from 1999 to 2000"
Q412365,Chief,Wikimedia disambiguation page
Q413561,Ak Jol,political party in Kyrgyzstan
Q414864,CCCP,Wikimedia disambiguation page
Q415693,Akan people,ethnic group
Q418708,Telugu people,ethnic group
Q420115,Democratic League of Dardania,political party
Q421031,mastering,form of audio post-production
Q421477,New Party Daichi – True Democrats,political party
Q421946,actor,person performing an action
Q422065,Sultanate of Sulu,"historic sultanate state based on the islands of Sulu, Palawan, and northeastern Borneo"
Q424704,Port Colborne,"town in Niagara Region, Ontario, Canada"
Q425694,family and consumer science,academic discipline
Q427965,Radical Party of the Left,political party
Q428598,2005 United Kingdom general election,election of members to the House of Commons in 2005
Q428732,Phocaea,ancient Greek city-state (Φώκαια)
Q428886,Nationalist Democracy Party,political party
Q429170,African Democratic Rally,political party in French West Africa and French Equatorial Africa (established at Bamako in 1946 under the leadership of Félix Houphouët-Boigny)
Q431192,Orléanism,political movement
Q434198,,
Q435017,emeritus bishop,honorary title given to some retired bishops
Q435940,father,title used by Catholic priests
Q437470,personal care assistant,occupation
Q442431,Xerox art,photography genre
Q452446,Litvak,Wikimedia disambiguation page
Q452757,People's Democratic Party,Wikimedia disambiguation page
Q453366,Family Party of Germany,political party in Germany
Q456665,Ambassadeur,Wikimedia disambiguation page
Q457167,West Ukrainian People's Republic,self-proclaimed 1918-1919 country in Eastern Europe
Q457271,lieutenant,commissioned officer rank in many nations' navies
Q458620,Peace Corps,government agency
Q460162,museology,study of museums
Q461262,phaleristics,auxiliary sciences of history
Q461351,Party for Social Renewal,political party in Guinea-Bissau
Q462693,Bishop of Bangor,Ordinary of the Church in Wales Diocese of Bangor
Q463180,American,Wikimedia disambiguation page
Q464237,Amhara people,Ethiopian ethnic group
Q464242,American Federation of Labor,"federation of U.S. labor unions, 1886-1955"
Q464486,Reverend Billy and the Church of Life After Shopping,American actor
Q464705,domestic worker,staff employed in a private household
Q465288,Referendary,Referendy is a nuber of administrative positions in Europe.
Q465501,stunt performer,person who performs stunts
Q465904,American Nazi Party,political party
Q465924,cynology,study of canines
Q466880,American Society of Civil Engineers,American professional association
Q470438,Physikalisch-Technische Bundesanstalt,national metrology institute of the German Federal Republic
Q472898,wet nurse,woman who breastfeeds and cares for another's child
Q474074,Civilista Party,political party
Q475059,rectrix,feather on the tail of a bird
Q475261,Greenback Party,political party
Q475482,Gefreiter,German military rank
Q476590,music psychology,branch of both psychology and musicology
Q476757,Democratic Republic of Afghanistan,Central Asian Republic (1978–1992)
Q476840,Home Rule League,political party
Q477190,postulator,person who guides a cause for beatification or canonization through the judicial processes required by the Roman Catholic Church
Q478289,Jews in Hungary,ethnic group
Q478515,ball,dance party
Q479117,Republican Party,political party in Namibia (1977–2010)
